D1,D2,D3,Eta_arrivo_Italia,D7,D8,D9,D9b,D10,D11,D12,D20a,D23,D25,D26,D27a,D27b,D29,D32,D35a,D35b,D35c,D35d,D35e,D35f,D35g,D36
1,1976,1,25,436,2,5,3,3,1,1,3,1,5,1600,0,0,40,1600,1,2,2,2,2,2,2,1
1,1982,1,16,419,2,6,3,4,2,1,2,1,4,700,0,0,24,700,1,1,1,2,2,1,2,1
1,1995,1,13,409,1,3,1,5,1,4,0,98,5,2600,0,300,40,780,1,1,1,2,2,2,2,1
2,1975,1,26,423,2,3,3,4,2,3,2,1,2,800,150,150,48,800,1,1,2,2,2,2,2,1
1,1985,1,22,344,2,3,3,4,1,3,1,1,1,1200,200,200,40,1200,2,2,2,2,2,2,2,2
1,1984,1,27,330,1,3,3,4,9,4,0,98,1,1000,600,600,30,1000,2,2,2,2,2,2,2,2
1,1955,1,28,436,2,3,3,5,1,1,2,1,4,2400,0,50,40,1300,2,2,2,2,2,2,2,2
1,1968,1,27,311,2,3,1,5,2,3,3,1,5,2000,0,0,40,1000,1,2,2,2,2,2,2,1
2,1949,1,49,615,2,3,3,5,2,3,3,1,1,1000,500,500,40,1000,1,2,1,2,2,2,2,1
1,1975,1,36,311,1,3,3,3,2,4,0,98,1,600,200,200,20,600,2,2,2,2,2,2,2,2
1,1974,1,28,460,4,3,3,4,1,3,0,98,1,1000,50,50,40,1000,1,2,2,2,2,2,2,1
1,1987,1,11,436,2,5,1,5,1,3,0,1,6,1200,0,0,45,1200,1,1,2,2,2,2,2,1
2,1967,1,41,605,2,6,3,5,5,3,1,1,3,1500,0,0,12,500,1,1,2,2,2,2,2,1
1,1961,1,52,323,2,6,3,4,2,4,5,1,3,600,0,0,15,250,2,2,2,2,2,2,2,2
1,1976,1,35,305,2,3,3,2,1,4,1,1,1,800,400,400,35,800,2,2,2,2,2,2,2,2
1,1971,1,38,305,2,6,3,3,1,3,2,1,1,900,100,100,40,900,1,2,2,2,2,2,2,1
2,1981,1,20,515,2,3,3,4,2,3,2,2,6,2000,0,0,16,500,2,2,2,2,2,2,2,2
2,1964,1,39,254,2,5,2,3,3,3,2,1,1,1100,400,400,40,1100,1,2,1,2,1,2,2,1
1,1970,1,25,401,1,5,3,4,1,1,0,2,1,1200,0,0,40,1200,1,2,2,2,2,2,2,2
2,1971,1,25,460,2,2,3,3,1,3,3,1,5,1600,0,0,15,400,1,1,1,2,1,2,2,1
2,1978,1,26,235,4,4,3,4,3,2,1,98,2,800,0,0,20,800,1,1,1,2,2,2,2,1
1,1996,1,4,311,1,5,1,5,7,3,0,98,1,700,0,0,40,700,1,2,2,2,2,2,2,2
